,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
59,0.6728018283843994,0.020278675702694707,0.005386734008789062,0.0004876300681060584,0.1,0.1,6,500,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}",0.938807136294503,0.913941106835081,0.9380031862652597,0.9288104893581611,0.8944866260057625,0.9228097089517535,0.016754807853376522,1,-4.0219696203734605,-4.77338860347951,-4.262008749073506,-4.341917616226374,-5.657794180454742,-4.611415753921518,0.5767675894363075,1
58,0.30736594200134276,0.011857474766692064,0.005432605743408203,0.00045768672574571175,0.1,0.1,6,200,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.9392035972554682,0.9115381114876328,0.9380730045150584,0.9285378493538943,0.8935570055990607,0.9221819136422228,0.01740883847770774,2,-4.0089195278153404,-4.83957268771159,-4.259608223970736,-4.350223960713903,-5.682663382429043,-4.628197556528123,0.5921503722817565,3
23,0.7027217388153076,0.0067510982736811685,0.006782102584838867,0.0003991372945174723,0.01,0.1,6,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}",0.9373650288062758,0.9137833495583938,0.9373367001608339,0.927783930499156,0.8939094842009324,0.9220356986451185,0.01650052353370021,3,-4.069085711676945,-4.777761725018955,-4.28485650475081,-4.373110978492862,-5.6732467072421855,-4.635612325436351,0.5674117674311846,4
56,0.3953430652618408,0.004487096738477036,0.004986858367919922,6.14361702286011e-07,0.1,0.1,3,500,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",0.9490653910679994,0.9136091890346311,0.9373589785787132,0.9210963160781205,0.8880154403182152,0.9218290630155359,0.020949750210605533,4,-3.669398549889832,-4.7825849099134645,-4.28409474858631,-4.571115714354294,-5.828710195310795,-4.627180823610939,0.7079578372054528,2
22,0.29620814323425293,0.017468618018827757,0.005288887023925781,0.0004003786248423729,0.01,0.1,6,200,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.9377073774069362,0.9105964264467861,0.9372982731879357,0.9273580791798063,0.8935241673841816,0.921296864721129,0.017017111487437685,5,-4.057950123114261,-4.865263349790448,-4.286170103222844,-4.385985936333964,-5.683539880370894,-4.655781878566482,0.5774035884550853,5
20,0.3974587917327881,0.0035771616767555038,0.0057812690734863285,0.0003968415935921615,0.01,0.1,3,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",0.9468068623523714,0.9135246504288653,0.9375840486639987,0.9193531108876059,0.8844688122376845,0.9203474969141052,0.021596373711636634,6,-3.749869906871421,-4.784924361256301,-4.276391415981772,-4.621334289239901,-5.9202903772297635,-4.670562070115833,0.7183825601567545,6
26,0.967612886428833,0.04413283481400612,0.006183338165283203,0.00039914319048407813,0.01,0.1,9,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 500}",0.9350062141462259,0.9260545330802153,0.927365513139701,0.9170847311005722,0.8961993722725972,0.9203420727478623,0.013345248006561406,7,-4.1449978968668475,-4.424708774781209,-4.613187305746932,-4.685876430897752,-5.61168621961931,-4.69609132558241,0.49449851094165764,7
25,0.4537869930267334,0.02013515286748326,0.005985069274902344,0.0006329388039811975,0.01,0.1,9,200,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200}",0.9350339793103036,0.9259736585795693,0.927383485645292,0.9171109405287098,0.8961501940972261,0.9203304516322202,0.013362895687870871,8,-4.144112436518711,-4.427127775813647,-4.612616532360484,-4.6851357720896925,-5.613015401415125,-4.696401583639532,0.49494634656159514,8
24,0.2289879322052002,0.013813280432922074,0.006185293197631836,0.00039828230040257106,0.01,0.1,9,100,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 100}",0.9344310110099082,0.9241444263078759,0.9276949481269048,0.9172307914633968,0.895581711054248,0.9198165775924668,0.013329633955400015,9,-4.163299368473729,-4.481492381238612,-4.602713820673971,-4.681747381454378,-5.6283575059886015,-4.711522091565858,0.4912788967713176,9
61,0.4148704051971436,0.008921444987183799,0.005784416198730468,0.000397994058662971,0.1,0.1,9,200,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200}",0.9337237977798458,0.926423291926428,0.9273669633938159,0.9165817018483711,0.894428423376874,0.9197048356650669,0.013776996317360261,10,-4.18569138419977,-4.413662189511533,-4.613141250990039,-4.700069044008202,-5.659354423880164,-4.714383658517941,0.5046530696438825,10
